# 视频转录文本

## 统计信息
- **原文字符数:** 1113
- **译文字符数:** 300
- **段落数:** 18

## 分段转录

**[00:00]** You are giving so much of yourself to your language and you're not seeing progress as
    *翻译:* 你对自己的语言投入了这么多，却没有看到进步。

**[00:05]** much as a result.
    *翻译:* 结果很多。

**[00:07]** You might feel like you are in the intermediate plateau, by the way, in the stage.
    *翻译:* 顺便说一句，你可能感觉自己正处于中级阶段的平台期。

**[00:11]** However, you are still learning at a study pace.
    *翻译:* 然而，你仍在以学习的速度进步。

**[00:15]** And the pro is that this phase is more sustainable.
    *翻译:* 而优点是这个阶段更加可持续。

**[00:17]** Third type of season is called restorative rest, where you take a clean break from your
    *翻译:* 第三种类型的季节被称为恢复性休息，在这里你可以从你的

**[00:21]** language ring in general or you take a clean break from one of your languages if you're
    *翻译:* 一般来说，如果你从你的语言中彻底休息一下，或者你使用语言环

**[00:26]** studying multiple ones.
    *翻译:* 学习多个。

**[00:27]** This helps the brain synthesize information so that you can come back to either the fast
    *翻译:* 这有助于大脑综合信息，以便你能够回到快速

**[00:31]** progress stage or the gradual growth stage once you are done with your restorative rest
    *翻译:* 恢复性休息结束后，你将进入进步阶段或逐渐成长阶段。

**[00:35]** stage.
    *翻译:* 舞台。

**[00:36]** So help yourself reevaluate and what stage do I find myself now?
    *翻译:* 那么帮助自己重新评估，我现在处于哪个阶段？

**[00:40]** The ability to increase your language learning motivation is in fact impacted by what kind
    *翻译:* 提高你的语言学习动力的能力实际上受到什么类型的影响。

**[00:45]** of language learning season you're currently in right now.
    *翻译:* 你目前正在经历的语言学习阶段。

**[00:47]** And now, after evaluating your language learning season, let's look at questions that
    *翻译:* 现在，在评估了你的语言学习阶段之后，让我们看看这些问题。

**[00:51]** you can ask yourself to increase each of our four actors for those who scored themselves
    *翻译:* 你可以要求自己为我们四个得分的演员各自增加

**[00:56]** pretty low in value.
    *翻译:* 价值相当低。

**[00:58]** Ask these questions to Claire.
    *翻译:* 向克莱尔提出这些问题。

## 完整原文

You are giving so much of yourself to your language and you're not seeing progress as much as a result. You might feel like you are in the intermediate plateau, by the way, in the stage. However, you are still learning at a study pace. And the pro is that this phase is more sustainable. Third type of season is called restorative rest, where you take a clean break from your language ring in general or you take a clean break from one of your languages if you're studying multiple ones. This helps the brain synthesize information so that you can come back to either the fast progress stage or the gradual growth stage once you are done with your restorative rest stage. So help yourself reevaluate and what stage do I find myself now? The ability to increase your language learning motivation is in fact impacted by what kind of language learning season you're currently in right now. And now, after evaluating your language learning season, let's look at questions that you can ask yourself to increase each of our four actors for those who scored themselves pretty low in value. Ask these questions to Claire.

## 完整译文

你为自己的语言付出了很多，但并没有看到太多进展。你可能会觉得自己正处于中级阶段的停滞期。然而，你仍在以学习的节奏进步。这个阶段的优点是它更可持续。第三种季节被称为恢复性休息，你从你的语言学习中彻底休息，或者如果你学习多种语言，就从其中一种语言中彻底休息。这有助于大脑整合信息，这样你就可以在完成恢复性休息阶段后，回到快速进步阶段或逐渐成长阶段。所以，帮助自己重新评估，我现在处于哪个阶段？实际上，你增加语言学习动力的能力受到你目前所处的语言学习季节的影响。现在，在评估了你的语言学习季节之后，让我们看看你可以问自己的问题，以增加我们四个角色的价值，对于那些自我评分很低的人来说。向克莱尔提出这些问题。
