# 视频转录文本

## 统计信息
- **原文字符数:** 1082
- **译文字符数:** 320
- **段落数:** 25

## 分段转录

**[00:00]** Fy potential payoffs of taking action.
    *翻译:* 采取行动的潜在收益。

**[00:02]** What would be the best case scenario of completing this
    *翻译:* 完成这个的最佳情况会是什么

**[00:05]** language learning task or goal?
    *翻译:* 语言学习任务或目标？

**[00:06]** How would that impact your life, your health, career,
    *翻译:* 那将如何影响你的生活、健康和事业？

**[00:09]** relationship?
    *翻译:* 关系？

**[00:10]** What are all the ways that language learning benefits you?
    *翻译:* 学习语言能给你带来哪些好处？

**[00:13]** And why is this language learning task
    *翻译:* 为什么这是语言学习任务

**[00:15]** or language learning goal amazing for you?
    *翻译:* 对你来说，语言学习目标令人惊叹吗？

**[00:17]** Now let's talk about increasing expectancy
    *翻译:* 现在我们来谈谈提高预期。

**[00:19]** by identifying what is in your control.
    *翻译:* 通过识别你能控制的事物。

**[00:22]** One, what about this task or goal in your control?
    *翻译:* 一，这个任务或目标在你的控制范围内吗？

**[00:25]** Two, what is the most important thing
    *翻译:* 二，最重要的事情是什么

**[00:27]** to dedicate yours to this week to set you up for success?
    *翻译:* 将你的这周奉献出来，为成功做好准备？

**[00:30]** Three, what are the obstacles that are most likely
    *翻译:* 三，最可能遇到的障碍是什么

**[00:33]** to block you as you take action?
    *翻译:* 在你采取行动时阻止你？

**[00:35]** I highly recommend that you check out my podcast season three,
    *翻译:* 我强烈推荐你收听我的播客第三季。

**[00:40]** episode 29 for the Locustrol template.
    *翻译:* 蝗虫模板的第29集。

**[00:42]** This is a great template that I use myself
    *翻译:* 这是我自己使用的一个很好的模板

**[00:45]** when I'm struggling with figuring out
    *翻译:* 当我在努力弄清楚

**[00:46]** what do I actually have control over?
    *翻译:* 我实际上能控制什么？

**[00:48]** And what do I really need to let go of
    *翻译:* 我真正需要放下的是什么

**[00:51]** in order to progress forward and get unstuck?
    *翻译:* 为了向前进步并摆脱困境？

**[00:54]** So I will also add that in the description below,
    *翻译:* 所以我还会在下面的描述中补充，

**[00:56]** totally free if you are interested.
    *翻译:* 如果你感兴趣，完全免费。

**[00:58]** Now, if you feel like you scored poorly,
    *翻译:* 现在，如果你觉得自己得分很低，

## 完整原文

Fy potential payoffs of taking action. What would be the best case scenario of completing this language learning task or goal? How would that impact your life, your health, career, relationship? What are all the ways that language learning benefits you? And why is this language learning task or language learning goal amazing for you? Now let's talk about increasing expectancy by identifying what is in your control. One, what about this task or goal in your control? Two, what is the most important thing to dedicate yours to this week to set you up for success? Three, what are the obstacles that are most likely to block you as you take action? I highly recommend that you check out my podcast season three, episode 29 for the Locustrol template. This is a great template that I use myself when I'm struggling with figuring out what do I actually have control over? And what do I really need to let go of in order to progress forward and get unstuck? So I will also add that in the description below, totally free if you are interested. Now, if you feel like you scored poorly,

## 完整译文

考虑采取行动的潜在回报。完成这项语言学习任务或目标的最佳情况是什么？那将如何影响你的生活、健康、职业和人际关系？语言学习以何种方式为你带来好处？为什么这项语言学习任务或目标对你来说令人惊叹？现在让我们讨论通过识别你能控制的事物来提高期望值。一，这项任务或目标中有哪些是你能控制的？二，本周最重要的事情是什么，以便让你为成功做好准备？三，在你采取行动时，最有可能阻碍你的障碍是什么？我强烈推荐你收听我的播客第三季第29集，了解Locustrol模板。这是我自己在努力弄清楚我实际上能控制什么，以及我真正需要放下什么以便向前进步和摆脱困境时使用的一个很好的模板。如果你感兴趣，我也会在下面的描述中完全免费地添加它。现在，如果你觉得自己得分很低，
