# 视频转录文本

## 统计信息
- **原文字符数:** 3006
- **译文字符数:** 954
- **段落数:** 32

## 分段转录

**[00:00]** or anxious. We have sadness or anxiety on us. To say I am sad, we say, and please forgive me,
    *翻译:* 或者焦虑。我们身上有悲伤或焦虑。要说我很难过，我们说，请原谅我，

**[00:06]** I am sure I'm going to butcher this. Tabran orm, there is sadness on me. I am anxious,
    *翻译:* 我确定我会搞砸这个。塔布兰·奥尔姆，我心中充满了悲伤。我很焦虑，

**[00:13]** to immy orm. There is anxiety on me. The language recognizes these as passing states,
    *翻译:* 给伊米·奥尔姆。我感到焦虑。语言将这些视为暂时的状态。

**[00:19]** not permanent fixtures of who we are. Now put a pin in the fact that the Irish language is
    *翻译:* 并不是我们身份的永久特征。现在暂且记住，爱尔兰语是

**[00:23]** nearly extinct, and that's not a coincidence. That's a product of something called
    *翻译:* 几乎灭绝了，这不是巧合。这是所谓的某种东西的产物。

**[00:27]** Linguicide, aka language killing. I think when we can start to see these languages that have been
    *翻译:* 语言灭绝，也称为语言杀戮。我认为当我们开始看到这些语言已经

**[00:34]** systematically killed off, as doors to a different way of seeing the world versus just a group of
    *翻译:* 系统地消灭，作为通往不同看待世界方式的大门，而不仅仅是一群

**[00:42]** vocabulary words, I can start to understand why forces of colonization that want me to think that
    *翻译:* 词汇单词，我能够开始理解为什么殖民势力想要我认为

**[00:48]** my time is something to sell would also find it very important to silence languages that offer
    *翻译:* 我的时间是可以用来出售的，也会发现让提供这些语言保持沉默非常重要。

**[00:54]** a different perspective. There is a creator on tiktok named Words at Work and he talks all about
    *翻译:* 一个不同的视角。在TikTok上有一个名为“Words at Work”的创作者，他谈论的都是关于

**[00:59]** linguistics, highly recommend giving him a follow. He made a tiktok about how normalize it is to use
    *翻译:* 语言学，强烈推荐关注他。他在TikTok上发布了一个视频，讲述了使用它是如何变得正常化的。

**[01:04]** words like illegal and delinquent. He says, have you ever heard a really bad decision be described
    *翻译:* 像非法和违法这样的词。他说，你有没有听过一个非常糟糕的决定被描述为

**[01:10]** as criminal or a kid who is a real jerk, be described as a delinquent? Much more blatantly,
    *翻译:* 作为一个罪犯或者一个真正的混蛋孩子，可以被描述为一个行为不端的人吗？更直白地说，

**[01:15]** have you ever heard anyone be described as an illegal and illegal? Think about that for a second.
    *翻译:* 你有没有听说过有人被描述为非法和非法？想一下这个问题。

**[01:21]** Someone who's not just a criminal, but who's very personhood is an act of criminality because
    *翻译:* 一个不仅仅是罪犯的人，其人格本身就是犯罪行为，因为

**[01:26]** they dare to exist at the wrong place at the wrong time. He says all of these examples rely on an
    *翻译:* 他们敢于在错误的时间出现在错误的地方。他说所有这些例子都依赖于一个

**[01:32]** understanding that legality and morality are the same. And then this was back in 2024. He brought
    *翻译:* 理解合法性和道德性是相同的。然后这要追溯到2024年。他带来了

**[01:38]** up a proposition in California to bar slavery in any form in the state. And six and a half million
    *翻译:* 在加利福尼亚州提出一项提议，禁止在该州以任何形式实行奴隶制。还有六百五十万

**[01:43]** people voted no. So they voted to keep slavery. And why these people voted no is because slavery was
    *翻译:* 人们投了反对票。所以他们投票支持保留奴隶制。这些人之所以投反对票是因为奴隶制

**[01:50]** being framed as punishment for a crime. And he went on to say, which I think this kind of has to
    *翻译:* 被构陷为犯罪的惩罚。他继续说，我认为这种事情必须得

**[01:55]** be the thesis of this episode, but he says the state has the power of violence, but language has
    *翻译:* 成为这一集的主题，但他说国家拥有暴力的力量，但语言拥有

**[02:01]** the power to normalize it. And we need to be very conscious of that power. Hi, day two of recording.
    *翻译:* 使其正常化的能力。我们需要非常意识到这种能力。嗨，第二天录制。

**[02:06]** I got hungry and tired, but we're back now. Anyway, this consciousness that I think is required to
    *翻译:* 我感到饿了也累了，但我们现在已经回来了。无论如何，我认为这种意识是必需的。

**[02:12]** use language in a way that doesn't turn violent brings me to the etymology of the word culture,
    *翻译:* 以一种不引发暴力的方式使用语言，让我想到了“文化”这个词的词源。

**[02:17]** because the word culture is actually an agricultural metaphor. Edward S. Casey wrote the very word
    *翻译:* 因为“文化”这个词实际上是一种农业隐喻。爱德华·S·凯西写道这个词

**[02:23]** culture meant place tiled in middle English. And the same word goes back to Latin, collaire,
    *翻译:* 文化在中古英语中意味着铺瓷砖的地方。同一个词可以追溯到拉丁语，collaire。

**[02:28]** to inhabit, care for, till worship, to be cultural, to have a culture is to inhabit a place efficiently
    *翻译:* 居住、照料、耕作、崇拜、成为文化的一部分、拥有文化意味着高效地居住在一个地方。

**[02:36]** intensely, to cultivate it, to be responsible for it, to respond to it, to attend to it careingly.
    *翻译:* 深入地培养它，对它负责，对它做出回应，关心地关注它。

**[02:42]** And I don't know why when I first heard this, it like really struck me because it's interesting how
    *翻译:* 我也不知道为什么，我第一次听到这个时，它真的触动了我，因为有趣的是

**[02:48]** metaphors are baked into words themselves. And before this, I've never thought about what the actual
    *翻译:* 隐喻已经融入了词汇本身。在此之前，我从未想过这些词汇实际上意味着什么。

**[02:53]** word culture means, but it makes a lot of sense that it would mean basically to care for yourself
    *翻译:* “文化”这个词意味着什么，但它基本上意味着关心自己是很有意义的。

**[02:59]** and the people.
    *翻译:* 还有人们。

## 完整原文

or anxious. We have sadness or anxiety on us. To say I am sad, we say, and please forgive me, I am sure I'm going to butcher this. Tabran orm, there is sadness on me. I am anxious, to immy orm. There is anxiety on me. The language recognizes these as passing states, not permanent fixtures of who we are. Now put a pin in the fact that the Irish language is nearly extinct, and that's not a coincidence. That's a product of something called Linguicide, aka language killing. I think when we can start to see these languages that have been systematically killed off, as doors to a different way of seeing the world versus just a group of vocabulary words, I can start to understand why forces of colonization that want me to think that my time is something to sell would also find it very important to silence languages that offer a different perspective. There is a creator on tiktok named Words at Work and he talks all about linguistics, highly recommend giving him a follow. He made a tiktok about how normalize it is to use words like illegal and delinquent. He says, have you ever heard a really bad decision be described as criminal or a kid who is a real jerk, be described as a delinquent? Much more blatantly, have you ever heard anyone be described as an illegal and illegal? Think about that for a second. Someone who's not just a criminal, but who's very personhood is an act of criminality because they dare to exist at the wrong place at the wrong time. He says all of these examples rely on an understanding that legality and morality are the same. And then this was back in 2024. He brought up a proposition in California to bar slavery in any form in the state. And six and a half million people voted no. So they voted to keep slavery. And why these people voted no is because slavery was being framed as punishment for a crime. And he went on to say, which I think this kind of has to be the thesis of this episode, but he says the state has the power of violence, but language has the power to normalize it. And we need to be very conscious of that power. Hi, day two of recording. I got hungry and tired, but we're back now. Anyway, this consciousness that I think is required to use language in a way that doesn't turn violent brings me to the etymology of the word culture, because the word culture is actually an agricultural metaphor. Edward S. Casey wrote the very word culture meant place tiled in middle English. And the same word goes back to Latin, collaire, to inhabit, care for, till worship, to be cultural, to have a culture is to inhabit a place efficiently intensely, to cultivate it, to be responsible for it, to respond to it, to attend to it careingly. And I don't know why when I first heard this, it like really struck me because it's interesting how metaphors are baked into words themselves. And before this, I've never thought about what the actual word culture means, but it makes a lot of sense that it would mean basically to care for yourself and the people.

## 完整译文

或者焦虑。我们身上有悲伤或焦虑。要说我很难过，我们说，请原谅我，我确信我会糟蹋这个。Tabran orm，我身上有悲伤。我很焦虑，to immy orm。我身上有焦虑。这种语言将这些视为短暂的状态，而不是我们身份的永久特征。现在暂且记住，爱尔兰语几乎灭绝，这不是巧合。这是所谓的语言灭绝，也就是语言杀戮的产物。我认为，当我们开始看到这些被系统性消灭的语言，作为通往不同世界观的大门，而不仅仅是一组词汇时，我就能开始理解为什么那些想要我认为我的时间是可以用来出售的殖民势力，也会发现沉默提供不同视角的语言非常重要。TikTok上有一个创作者叫做“工作中的单词”，他谈论了很多关于语言学的内容，强烈推荐关注他。他做了一个TikTok视频，讲述了使用“非法”和“不良分子”这样的词汇是多么正常。他说，你有没有听过一个非常糟糕的决定被描述为犯罪，或者一个真正的讨厌鬼被描述为不良分子？更直白地说，你有没有听过有人被描述为非法和非法？再想想这个。一个不仅仅是罪犯，而且他们的存在本身就是犯罪行为的人，因为他们敢在错误的时间出现在错误的地方。 他说所有这些例子都依赖于一个理解，即合法性和道德性是相同的。然后这要回到2024年。他在加利福尼亚提出了一个提议，禁止在该州以任何形式实行奴隶制。而六百五十万人投了反对票。所以他们投票决定保留奴隶制。这些人之所以投反对票，是因为奴隶制被描绘成对犯罪的惩罚。他继续说，我认为这必须是这一集的主题，但他说国家拥有暴力的权力，而语言拥有使其正常化的权力。我们需要非常意识到这种权力。嗨，第二天录音。我饿了也累了，但现在我们回来了。无论如何，我认为使用语言时需要的这种意识，不会变得暴力，这让我想到了“文化”这个词的词源，因为“文化”这个词实际上是一个农业隐喻。爱德华·S·凯西写道，这个词“文化”在中古英语中意味着铺设瓷砖的地方。同一个词可以追溯到拉丁语，collaire，居住、照顾、耕作、崇拜，成为文化的，拥有文化就是高效、密集地居住在一个地方，耕作它，对它负责，回应它，关心地关注它。我不知道为什么，当我第一次听到这个时，它真的打动了我，因为有趣的是隐喻是如何嵌入到单词本身的。 而在之前，我从未想过“文化”这个词的真正含义是什么，但它基本上意味着关心自己和他人，这很有道理。
